,ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,fecha_incidente_amd,fecha_fallecimiento_amd,Rango_Edad
130,2016-0161,12/6/2016,2016,12,6,PEATON,PEATON,MASCULINO,50.0,12/6/2016,2016-12-06,2016-12-06,50-59
131,2016-0162,12/7/2016,2016,12,7,PEATON,PEATON,MASCULINO,38.0,1/1/2017,2016-12-07,2017-01-01,30-39
132,2016-0163,12/10/2016,2016,12,10,CONDUCTOR,MOTO,MASCULINO,23.0,SD,2016-12-10,,18-29
133,2016-0164,12/11/2016,2016,12,11,CONDUCTOR,AUTO,MASCULINO,29.0,SD,2016-12-11,,18-29
134,2016-0165,12/12/2016,2016,12,12,CICLISTA,BICICLETA,MASCULINO,37.0,SD,2016-12-12,,30-39
135,2016-0168,12/13/2016,2016,12,13,CONDUCTOR,MOTO,MASCULINO,43.0,12/13/2016,2016-12-13,2016-12-13,40-49
136,2016-0169,12/15/2016,2016,12,15,CONDUCTOR,MOTO,MASCULINO,24.0,12/16/2016,2016-12-15,2016-12-16,18-29
137,2016-0170,12/19/2016,2016,12,19,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21.0,12/19/2016,2016-12-19,2016-12-19,18-29
138,2016-0171,12/25/2016,2016,12,25,CONDUCTOR,MOTO,SD,,SD,2016-12-25,,
139,2016-0172,12/26/2016,2016,12,26,CONDUCTOR,MOTO,MASCULINO,38.0,12/26/2016,2016-12-26,2016-12-26,30-39
140,2016-0173,12/26/2016,2016,12,26,CONDUCTOR,MOTO,MASCULINO,35.0,SD,2016-12-26,,30-39
141,2016-0174,12/27/2016,2016,12,27,SD,SD,SD,,SD,2016-12-27,,
142,2016-0175,12/27/2016,2016,12,27,PEATON,PEATON,FEMENINO,,SD,2016-12-27,,
143,2016-0176,12/28/2016,2016,12,28,CONDUCTOR,MOTO,MASCULINO,28.0,SD,2016-12-28,,18-29
144,2016-0177,12/29/2016,2016,12,29,PEATON,PEATON,FEMENINO,27.0,SD,2016-12-29,,18-29
145,2016-0178,12/30/2016,2016,12,30,PEATON,PEATON,FEMENINO,7.0,SD,2016-12-30,,0-17
146,2017-0001,1/2/2017,2017,1,2,CONDUCTOR,MOTO,MASCULINO,18.0,1/2/2017,2017-01-02,2017-01-02,18-29
147,2017-0003,1/5/2017,2017,1,5,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,33.0,1/5/2017,2017-01-05,2017-01-05,30-39
148,2017-0007,1/11/2017,2017,1,11,PEATON,PEATON,MASCULINO,48.0,1/11/2017,2017-01-11,2017-01-11,40-49
149,2017-0008,1/16/2017,2017,1,16,CONDUCTOR,MOTO,MASCULINO,29.0,1/16/2017,2017-01-16,2017-01-16,18-29
150,2017-0009,1/16/2017,2017,1,16,CONDUCTOR,MOTO,MASCULINO,36.0,1/16/2017,2017-01-16,2017-01-16,30-39
151,2017-0010,1/16/2017,2017,1,16,CONDUCTOR,MOTO,MASCULINO,23.0,1/16/2017,2017-01-16,2017-01-16,18-29
152,2017-0011,1/22/2017,2017,1,22,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,29.0,1/22/2017,2017-01-22,2017-01-22,18-29
153,2017-0012,1/24/2017,2017,1,24,CONDUCTOR,MOTO,MASCULINO,30.0,1/24/2017,2017-01-24,2017-01-24,30-39
154,2017-0013,1/27/2017,2017,1,27,PEATON,PEATON,MASCULINO,4.0,1/27/2017,2017-01-27,2017-01-27,0-17
